SerieKey,Time,Value
33,1995,0.586636342
33,1996,3.912373541
33,1997,2.930436659
33,1998,-3.576341021
33,1999,-1.89458923
33,2000,9.701394446
33,2001,3.739585058
33,2002,1.163836561
33,2003,4.875635436
33,2004,5.25924119
33,2005,13.62939698
33,2006,13.94491186
33,2007,6.132946557
33,2008,9.054515789
33,2009,-5.466429707
33,2010,-0.38785375
33,2011,-0.436116943
33,2012,-4.434863562
33,2013,-0.400058881
33,2014,-7.310045053
33,2015,-16.15441651
33,2016,-12.93018698
33,2017,-9.304464947
33,2018,-7.688164558
33,2019,-6.555490876
33,2020,-5.268680784
33,2021,-3.898226259
34,2001,-2.890504025
34,2002,-2.978411676
34,2003,-0.735119998
34,2004,-0.210855459
34,2005,1.05E-02
34,2006,0.956285654
34,2007,-0.682652275
34,2008,-9.762302944
34,2009,-9.280241867
34,2010,-2.332919624
34,2011,2.559705489
34,2012,-0.130613858
34,2013,-2.85555261
34,2014,-1.748254842
34,2015,-3.48488614
34,2016,-5.334101684
34,2017,-8.248719619
34,2018,-8.022155645
34,2019,-7.944899874
34,2020,-7.793205473
34,2021,-6.469280934
35,1994,-6.415858828
35,1995,-4.883306777
35,1996,-2.771412274
35,1997,-1.61411738
35,1998,-4.346282143
35,1999,-5.086093289
35,2000,2.303944607
35,2001,3.132931169
35,2002,-5.461024112
35,2003,-0.449652967
35,2004,1.484742097
35,2005,2.430830248
35,2006,-2.893257795
35,2007,0.711850416
35,2008,21.58021296
35,2009,8.303289617
35,2010,14.22318963
35,2011,11.74901306
35,2012,4.268603835
35,2013,0.977436458
35,2014,3.192248879
35,2015,-6.761752855
35,2016,-9.858022105
35,2017,-3.919253463
35,2018,-0.396845949
35,2019,6.34941701
35,2020,7.980402338
35,2021,7.596301948
36,1996,7.225362117
36,1997,-0.372389159
36,1998,-8.206226663
36,1999,-13.01950177
36,2000,2.800087791
36,2001,3.885154382
36,2002,-3.109686294
36,2003,-5.881062984
36,2004,1.419235772
36,2005,9.389475396
36,2006,11.81100419
36,2007,4.655572383
36,2008,-4.454537969
36,2009,-7.3549425
36,2010,3.449589763
36,2011,8.676829536
36,2012,4.586479369
36,2013,-0.332481389
36,2014,-6.574738455
36,2015,-4.890401805
36,2016,-5.350405488
36,2017,-5.391908666
36,2018,-4.028007519
36,2019,-3.414964128
36,2020,-2.918899668
36,2021,-2.578792339
37,1991,77.833696
37,1992,62.92569334
37,1993,74.02787618
37,1994,98.37605002
37,1995,116.1950932
37,1996,98.14785992
37,1997,69.85506158
37,1998,72.86318397
37,1999,82.01907366
37,2000,62.81327125
37,2001,54.7459904
37,2002,51.43049572
37,2003,42.35569077
37,2004,35.23422169
37,2005,26.34554616
37,2006,23.73500427
37,2007,13.64345462
37,2008,8.387151045
37,2009,10.16396251
37,2010,10.87492646
37,2011,9.489045454
37,2012,9.491093282
37,2013,7.74417899
37,2014,7.955684362
37,2015,9.060291185
37,2016,13.02786233
37,2017,17.13432257
37,2018,23.87796675
37,2019,29.12120983
37,2020,32.65133472
37,2021,34.53208509
38,2004,9.536458528
38,2005,8.391067974
38,2006,11.09377168
38,2007,18.34665418
38,2008,20.80428589
38,2009,26.02385123
38,2010,30.57329886
38,2011,34.94306795
38,2012,32.0400435
38,2013,34.45131287
38,2014,37.33162575
38,2015,53.73587882
38,2016,54.93142759
38,2017,59.18729393
38,2018,62.77508155
38,2019,65.72314518
38,2020,68.18503287
38,2021,69.22007729
39,1995,19.20911051
39,1996,16.72123521
39,1997,12.46567519
39,1998,14.29077487
39,1999,25.41373931
39,2000,22.83718556
39,2001,24.38730935
39,2002,23.01781208
39,2003,21.82825935
39,2004,19.99710206
39,2005,13.49848799
39,2006,10.26077164
39,2007,8.311253738
39,2008,7.291677838
39,2009,12.39476616
39,2010,12.51715002
39,2011,11.4256938
39,2012,13.94777685
39,2013,12.74967133
39,2014,11.1746144
39,2015,28.31578687
39,2016,39.57793682
39,2017,36.05619393
39,2018,37.33106531
39,2019,34.95068825
39,2020,32.96110553
39,2021,32.0070475
40,2000,104.5421635
40,2001,102.0531732
40,2002,70.94822218
40,2003,68.69243371
40,2004,51.95373559
40,2005,35.7366343
40,2006,18.69656186
40,2007,16.06556436
40,2008,16.64651492
40,2009,22.70966678
40,2010,44.29050748
40,2011,33.80086829
40,2012,29.486661
40,2013,32.87412649
40,2014,40.6608972
40,2015,64.23874051
40,2016,77.70620951
40,2017,73.64706717
40,2018,71.23832586
40,2019,69.6408458
40,2020,67.62904874
40,2021,65.48968165
41,1990,25.71067821
41,1991,27.79504763
41,1992,28.72666198
41,1993,32.82139387
41,1994,31.05385236
41,1995,29.38094454
41,1996,28.19490272
41,1997,30.40054672
41,1998,30.93947632
41,1999,31.84289133
41,2000,28.57092276
41,2001,31.25140167
41,2002,34.28508888
41,2003,32.20215905
41,2004,30.76497374
41,2005,27.13616768
41,2006,28.86958966
41,2007,33.29712727
41,2008,37.94617559
41,2009,42.34496786
41,2010,37.02480981
41,2011,40.29489801
41,2012,43.5455672
41,2013,36.19444478
41,2014,40.66100494
41,2015,46.11057398
41,2016,40.83767042
41,2017,38.87852832
41,2018,37.79570266
41,2019,36.97831586
41,2020,36.04265486
41,2021,35.05944309
42,2001,45.81322406
42,2002,45.27474778
42,2003,44.53485492
42,2004,44.09844451
42,2005,45.09261131
42,2006,45.84163968
42,2007,47.93328131
42,2008,58.70840443
42,2009,53.4516586
42,2010,42.05432142
42,2011,34.52191084
42,2012,38.85268409
42,2013,42.16973272
42,2014,40.21891785
42,2015,44.20947502
42,2016,42.83040674
42,2017,45.95468747
42,2018,45.86672074
42,2019,45.91361984
42,2020,45.92753908
42,2021,44.80170282
43,1994,24.28377174
43,1995,22.45501921
43,1996,20.35740151
43,1997,20.77332733
43,1998,24.69896976
43,1999,23.5580775
43,2000,20.83096966
43,2001,18.6612704
43,2002,27.67312245
43,2003,28.5210859
43,2004,25.86450473
43,2005,22.67047777
43,2006,31.22299183
43,2007,27.77472894
43,2008,30.14119232
43,2009,33.68577237
43,2010,31.78441131
43,2011,33.75358957
43,2012,37.19322705
43,2013,38.50134948
43,2014,35.72214459
43,2015,40.51260468
43,2016,44.8665392
43,2017,41.49494042
43,2018,40.68778535
43,2019,38.09573058
43,2020,37.34151467
43,2021,37.18197062
44,1996,40.60300413
44,1997,43.03652203
44,1998,41.99982827
44,1999,63.32326882
44,2000,49.61943782
44,2001,41.93654204
